Servicentro,Region,Provincia,Comuna,Dirección,Coordenadas,Tipo de Atención,Gasolina 93 $/L,Petróleo Diesel $/L,Gasolina 95 $/L,GLP Vehicular $/m3,GNC $/m3,Gasolina 97 $/L,Kerosene $/L,Úlima Actualización
SHELL,Metropolitana,Santiago,Cerrillos,Avda Pedro Aguirre Cerda 4981,33º0'0""S 70º0'0""W,Asistido,1201,962,1226,0,1091,1267,1072,9 oct. 2025
SHELL,Metropolitana,Santiago,Conchalí,Monterrey 2987,33º0'0""S 70º0'0""W,Asistido,1234,958,1262,0,919,1299,0,9 oct. 2025
JVL COMBUSTIBLES,Metropolitana,Santiago,Maipú,NUEVA O' HIGGINS 77,33º0'0""S 70º0'0""W,Asistido,1174,956,1205,604,909,1241,1068,9 oct. 2025
Gasco Autogas,Magallanes y de la Antártica Chilena,Magallanes,Punta Arenas,Avda. Edo. Frei 314,53º0'0""S 70º0'0""W,Asistido,0,0,0,0,375,0,0,16 oct. 2025
COPEC,Magallanes y de la Antártica Chilena,Magallanes,Punta Arenas,AV. SALVADOR ALLENDE # 0396 (Esquina Av. Frei). 0396,53º0'0""S 70º0'0""W,Asistido,1306,1124,1341,0,395,1378,0,9 oct. 2025
COPEC,Magallanes y de la Antártica Chilena,Magallanes,Punta Arenas,AVENIDA BULNES 4486,53º0'0""S 70º0'0""W,Asistido,1309,1127,1344,0,395,1380,0,9 oct. 2025
COPEC,Magallanes y de la Antártica Chilena,Magallanes,Punta Arenas,Diagonal Don Bosco esq Sarmiento de Gamboa 000,53º0'0""S 70º0'0""W,Asistido,1309,1127,1344,0,390,1380,0,9 oct. 2025
ARAMCO,Magallanes y de la Antártica Chilena,Magallanes,Punta Arenas,Avda. Edo. Frei 314,53º0'0""S 70º0'0""W,Asistido,1306,1124,1341,0,372,1378,0,10 oct. 2025
SHELL,Magallanes y de la Antártica Chilena,Última Esperanza,Natales,Ruta 9 con Av Ultima Esperanza 000,51º0'0""S 72º0'0""W,Asistido,1338,1147,1373,0,439,1408,0,9 oct. 2025
Gasco Autogas,Metropolitana,Santiago,Santiago Centro,cueto 1095,33º0'0""S 70º0'0""W,Asistido,0,0,0,604,906,0,0,16 oct. 2025
Gasco Autogas,Metropolitana,Santiago,Quinta Normal,CARRASCAL 3908,33º0'0""S 70º0'0""W,Asistido,1195,945,1208,604,906,0,0,7 ago. 2025
Gasco Autogas,Metropolitana,Santiago,San Miguel,Gran Avenida Jose Miguel Carrera 2948,33º0'0""S 70º0'0""W,Asistido,0,0,0,604,899,0,0,16 oct. 2025
COPEC,Metropolitana,Santiago,Vitacura,Vitacura 5579,33º0'0""S 70º0'0""W,Asistido,1265,1019,1306,721,976,1350,1085,9 oct. 2025
Gasco Autogas,Metropolitana,Cordillera,Puente Alto,eyzaguirre 1064,33º0'0""S 70º0'0""W,Asistido,0,0,0,604,914,0,0,16 oct. 2025
